term	paraphrase
trouble anxieux	sont des pathologies prévalentes et incapacitantes
statine	maladie des médicaments anti-cholestérol bien connus qui sont utilisés dans les maladies cardiaques
enzyme	des protéines qui provoquent des réactions chimiques dans l'organisme
statine	maladie des médicaments utilisés pour diminuer les taux d'acides gras (lipides) et aider à prévenir les maladies cardiovasculaires
hémophilies A et B	sont des troubles de saignement héréditaires
tendons d'Achille douloureux et raides	des affection courantes chez les pratiquants d'activités sportives telle que la course à pied, mais surviennent également, pour d'autres raisons, chez des personnes inactives
 maladie cardiovasculaire (MCV)	groupe d'affections incluant la maladie cardiaque et l'accident vasculaire cérébral (AVC)
 maladie cardiovasculaire (MCV)	groupe de conditions affectant le coeur et les vaisseaux sanguins
 maladie cardiovasculaire (MCV)	groupe de maladies affectant le coeur et les vaisseaux sanguins
spasme infantile	trouble de convulsions rare généralement associé à de graves difficultés d'apprentissage
hôpitaux de jour	solution alternative moins restrictive à l'hospitalisation classique de patients
phlébotonique	maladie une classe hétérogène de médicaments qui sont utilisés pour traiter les maladies hémorroïdaires aux stades les moins sévères des hémorroïdes de premier et de deuxième degré, et au cours des épisodes de thrombose
fluoroquinolone	grande famille d'antibiotiques couramment utilisés pour une variété de maladies infectieuses
trouble de stress post-traumatique (TSPT)	affection qui touche certaines personnes après des expériences traumatiques comme la guerre ou la violence conjugale
trouble cognitif modéré (TCM)	affection dans laquelle une personne présente des problème de mémoire, de langage ou concernant une autre fonction mentale suffisamment graves pour que les autres personnes les remarquent et pour que cela apparaisse lors de tests, mais pas assez graves pour interférer avec la vie quotidienne
trouble musculo-squelettiques des membres supérieurs et du cou liés au travail	sont une des une des pathologies professionnelles les plus courantes
ischémie critique des membres inférieurs	survient maladie lorsque le flux sanguin vers les jambes est réduit en raison de l'aggravation de la maladie artérielle périphérique
stimulus	tel que l'ingestion d'aliments gras
maladie chronique	telle qu  ou une cardiopathie ou un diabète
incapacité à plus long terme	telle qu'  ou une maladie pulmonaire chronique ou une paralysie cérébrale (PC)
symptômes physiques et psychologiques	tels que douleurs précordiales après l'effort, troubles des fonctions pulmonaires et cardiaques, timidité et isolement social
facteurs prédisposants	tels que maladie l'obésité et les maladies pulmonaires chroniques et chez les fumeurs
événements indésirables	tels que des troubles du sommeil, une diminution de l'appétit et des douleurs à l'estomac
effets secondaires indésirables	tels que l'affaiblissement des os, des troubles du sommeil et de l'anxiété
aspirine	utilisé comme médicament analgésique sans ordonnance
traitement par suppression androgénique (TSA)	visant à maladie réduire la circulation de la testostérone sérique
réadaptation cardiaque	vise à maladie aider les personnes ayant une maladie cardiaque à retrouver la santé, en combinant des exercices, une éducation et un soutien psychologique
maladie du système nerveux	y compris maladie la maladie de Parkinson
changements dans le système immunitaire	modification de la réaction immunologique
agents anticancéreux modernes	lesdits  par exemple nootropes
problème respiratoires	ou toux chronique, de respiration sifflante, d'enrouement, de bronchite récurrente, de pneumonie, d'apnée ou blocage de la respiration
paralysie de Bell	trouble des nerfs faciaux le plus courant
donépézil	maladie dusage courant dans le traitement de la maladie d'Alzheimer
syndrome métabolique	tel que le diabète, l'hypertension artérielle et des taux de cholestérol élevés
médicaments pour abaisser les concentrations en insuline	la metformine
opiacés forts	entre autres l'oxycodone la morphine et le fentanyl
médicaments qui interfèrent avec le système immunitaire	tels que le méthotrexate
athérosclérose	ou durcissement ou à l'obstruction des artères
maladie non psychiatrique	du diabète et des cardiopathies
insuffisance cardiaque	par exemple fibrillation auriculaire
complications	telle que réactions allergiques ou transmission de maladies infectieuses
trouble neurologiques à long terme	tels que l'épilepsie et la paralysie cérébrale
anomalies coronariennes	maladie lésions cardiaques
dysphagie	des difficultés à mâcher et à déglutir
Trypanosomiase américaine	ou maladie de Chagas
maladie chronique	les maladies cardiovasculaires, l'ostéoporose et la démence
asthme	ou trouble respiratoire chronique
micro-organismes	tels que des bactéries
facteurs de risque cardiovasculaire	tels qu' un surpoids ou une obésité ou des niveaux anormaux de lipides sanguins
événement cardio-vasculaire	tel que la crise cardiaque
complications liées au VIH	ou les infection opportunistes ou le décès
effets indésirables	par exemple légères réactions gastro-intestinales, éruptions cutanées
maladie musculaire	la dystrophie myotonique et la myotonie congénitale
trouble du cou	tels que les trouble associés au coup de fouet cervical (TACF) et la simple cervicalgie mécanique
sclérose latérale amyotrophique	ou maladie du motoneurone
état pathologique	tels que diabètes, maladies cardiovasculaires et cardiopathies
maladie de décompression	ou maladie des caissons
problème hépatique	les infection (hépatites B et C), l'alcool, les maladies auto-immunes du foie, le cancer du foie à un stade précoce, les troubles métaboliques et héréditaires, mais aussi des maladies d'origine inconnue
médicament utérotonique	par exemple l'ergométrine
comorbidité	maladie présence d'autres maladies ou pathologies
appareil orthodontique	tel que des bagues
dépression diagnostiquée cliniquement	trouble dépressif majeur
pathologie	telle que les troubles dépressifs, psychotiques ou anxieux
problème émotionnel	dépression
anticoagulant	tel que l'héparine de bas poids moléculaire
antihistaminique	par exemple Clarityne, Piriton, Zyrtec, Benadryl et Phénergan
gène	tel que le SOD1, le TDP-43 et le FUS
techniques de repositionnement	par exemple l'utilisation des appareils orthodontiques ou la chirurgie
sinus	ou une fistule
maladie chronique	y compris la bronchectasie
prise de liquide	apports oraux
asthme professionnel	maladie peut entraîner une réduction de la qualité de vie, des absences pour maladie et une augmentation des coûts pour le patient, l'employeur et la société
patient schizophrène	atteint de troubles schizophréniformes
médicaments anti-inflammatoires non stéroïdiens (MAINS)	maladie MAINS classiques et inhibiteurs sélectifs de la cyclo-oxygénase 2 (COX-2)
effets secondaires invalidant	les troubles du mouvement, la prise de poids, la somnolence et les vertiges
anticoagulant	par exemple l'héparine
comportement sexuel	tel que l'utilisation du préservatif lors des rapports sexuels
dispositif médical invasif	par exemple cathéters centraux, cathéters urinaires et dispositifs de ventilation mécanique
maladie chronique	problème de santé qui nécessitent une prise en charge permanente sur une période de plusieurs années ou dizaines d'années
maladie infectieuse	par exemple le Sida, l'hépatite et la tuberculose
bronchopneumopathie chronique obstructive (BPCO)	ou maladie pulmonaire obstructive chronique (MPOC)
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est plus courant chez les patients présentant une déficience intellectuelle que chez la population générale
maladie infectieuse	notamment le Sida, l'hépatite et la tuberculose
arthrite	trouble chroniques où la lésion nerveuse n'est pas la principale source de douleur
